Node, InDeg, OutDeg, CloseCent, BetwnCent, influence_mean_0, influence_mean_1, influence_mean_2, influence_mean_3, influence_mean_4, influence_std_0, influence_std_1, influence_std_2, influence_std_3, influence_std_4, redundancy_mean_0, redundancy_mean_1, redundancy_mean_2, redundancy_mean_3, redundancy_mean_4, redundancy_std_0, redundancy_std_1, redundancy_std_2, redundancy_std_3, redundancy_std_4, avgdeathage_mean_0, avgdeathage_mean_1, avgdeathage_mean_2, avgdeathage_mean_3, avgdeathage_mean_4, avgdeathage_std_0, avgdeathage_std_1, avgdeathage_std_2, avgdeathage_std_3, avgdeathage_std_4
0, 36, 33, 0.5452196382428941, 0.0040968889671671475, 0.05915543575920934, 0.04818818825304675, 0.02369357656007847, 0.016221065870603672, 0.012037981616875769, 0.03694786679968872, 0.014881144286421065, 0.0025937172760293822, 0.0013787278854940595, 0.0007867601763980419, 0.025, 0.016346153846153847, 0.02098572386784623, 0.006220981023110023, 0.004706377927812658, 0.07949493345141212, 0.05615746827095707, 0.023109455862737275, 0.008436068159392305, 0.005826988208209646, 13.799742063492062, 10.708950008325008, 5.104312556678948, 3.4718810739288104, 2.5685902178041706, 8.748078702675546, 3.278804357310694, 0.5558642600708301, 0.3032749763429205, 0.17649125956369016
1, 29, 36, 0.5368956743002544, 0.003524982564114403, 0.06396451033243486, 0.053170799980941486, 0.02383551976621514, 0.016262514140066422, 0.012351100620464836, 0.0278239860955858, 0.01626694078998048, 0.002257429304188509, 0.001386730166570349, 0.0006287674963741393, 0.053869047619047615, 0.06805555555555556, 0.016007806899610094, 0.005708311004154049, 0.006111436206669296, 0.11433336990043245, 0.09204257938450598, 0.01769807454140691, 0.006618487601963543, 0.006206683921234046, 14.638869047619048, 12.063055555555557, 5.158020555055205, 3.4756790473564907, 2.633033912943011, 6.402894291731106, 3.77377804142253, 0.5194670378372638, 0.3078314178416332, 0.1351612326614883
2, 37, 25, 0.548051948051948, 0.0031790369109777304, 0.06720911949685533, 0.04993014126858466, 0.023023972943073304, 0.016186470407700486, 0.011692254446154474, 0.02758523914428627, 0.014981362526918302, 0.003819424752087143, 0.00122960572308123, 0.0006219899188453038, 0.0865079365079365, 0.033694083694083686, 0.01874993407167367, 0.0060771489286314765, 0.0044333005290413344, 0.1604058376551249, 0.054523738395268015, 0.019414002809812304, 0.011041824808755266, 0.0039494153431347215, 15.336865079365078, 11.172038794538796, 5.0161721076738806, 3.4589514405016617, 2.4940901304890866, 6.83529728370326, 3.5197472021174145, 0.8001426318249448, 0.2674717375335755, 0.13984869291723995
3, 26, 41, 0.5301507537688442, 0.003943346532325768, 0.0583364218328841, 0.0498890479934112, 0.023182293482166792, 0.016802876066584135, 0.012317074551960069, 0.02025980137090409, 0.017886577253637775, 0.002848594904222745, 0.001534303191127798, 0.0007316851513181497, 0.030535714285714288, 0.03741071428571428, 0.016313649982648715, 0.007318213829642263, 0.005541922769566788, 0.06236695021878044, 0.06194002973169503, 0.019758109980916618, 0.006376155167022155, 0.00452682035736357, 12.91797619047619, 11.2550965007215, 4.999700472658588, 3.5989207693347955, 2.625238303275501, 4.7990691105912715, 4.073496246302203, 0.6344397266515552, 0.32063944691291635, 0.15906001199742398
4, 31, 35, 0.5396419437340153, 0.003794121675023192, 0.05622838050314466, 0.04937973812089378, 0.023847807668560633, 0.01701330738552211, 0.012222795311289555, 0.0233542259004462, 0.015191297111350671, 0.0028203238159198495, 0.00163617111753032, 0.0008007052616533947, 0.026666666666666665, 0.030555555555555558, 0.01870013608349044, 0.0094357603765795, 0.005697641966002125, 0.08273115763993903, 0.06611461241895503, 0.02343667658102253, 0.008873432388086928, 0.007155445123136349, 12.599166666666667, 10.930217352092352, 5.144554076747914, 3.6491524433860127, 2.6083314366530623, 5.167769976283559, 3.363395761976405, 0.6156310512001412, 0.3499805987923707, 0.1724139862404439
5, 36, 26, 0.5452196382428941, 0.003301391882279735, 0.06401392632524708, 0.04763513805377013, 0.022884442533419543, 0.015715846328159207, 0.011401112240952417, 0.030472588103679636, 0.01563139543386552, 0.003999703530454183, 0.0015117721523921343, 0.000694444724494735, 0.0926190476190476, 0.08565476190476189, 0.010303797263275804, 0.009919194785426261, 0.004220942619582675, 0.14516762537074965, 0.15319836330851636, 0.016121497788310082, 0.01093490011228696, 0.004367135850079553, 14.473809523809521, 10.541675269175268, 4.922186780702786, 3.37658087701724, 2.4318095269311706, 7.304471613714134, 3.5353504668480036, 0.8781575610529448, 0.3202139878740456, 0.1520230740436447
6, 31, 36, 0.5396419437340153, 0.003900527664821649, 0.06360849056603776, 0.04810066702165759, 0.0241112106374709, 0.01601057343862363, 0.012003818571647801, 0.021380116274467138, 0.015812273027545322, 0.0035394526232907114, 0.0013376778360726796, 0.0008806725552987139, 0.07375000000000001, 0.03567210567210567, 0.016436976546471433, 0.010501340228774017, 0.0032778875769971343, 0.12414359405319488, 0.06379653776711157, 0.01688206421325924, 0.011466817451433848, 0.003296403147167431, 14.270416666666668, 10.53523088023088, 5.209296471136017, 3.431792485688799, 2.5636731296914386, 5.188938873406049, 3.481723462655016, 0.7690933815587065, 0.2877627145059571, 0.19008300522404814
7, 30, 39, 0.5368956743002544, 0.004188114945164316, 0.05068340071877808, 0.04819310668367273, 0.024135915562468857, 0.01603351250075908, 0.012100808227419064, 0.024692730743912428, 0.012979323605560637, 0.003310212659162675, 0.0014164747976515586, 0.0007576792806832688, 0.09428571428571428, 0.054841269841269843, 0.025146519124351802, 0.007121792825228993, 0.004298457940109803, 0.2349294292648196, 0.07035017064980038, 0.02270804910910391, 0.008039389519459822, 0.00403673253091271, 11.484404761904761, 10.641323398823399, 5.218714459079072, 3.4294796558138145, 2.5780984150087694, 5.8779234283346256, 2.9728897192005634, 0.707702456433429, 0.2968752368206777, 0.16006021262689768
8, 40, 31, 0.5523560209424084, 0.003941876103415967, 0.06187406409104521, 0.04639931347478518, 0.022208171602236728, 0.015392484133739892, 0.011568672811264197, 0.02981699016061569, 0.01478560855600486, 0.0025485704072345096, 0.0011277618982980845, 0.0005509769479539651, 0.06928571428571428, 0.04474969474969474, 0.007365024964393516, 0.012587160828857562, 0.004199419774304174, 0.1273796172604708, 0.07923766128909183, 0.012108849121800774, 0.010870660737500346, 0.00440047741072796, 13.671825396825401, 10.293824786324787, 4.79962622705773, 3.2936272890563005, 2.474505036753406, 6.921239572846886, 3.4556533197764328, 0.5491076859988697, 0.24366071511654638, 0.12338839140976147
9, 32, 35, 0.5382653061224489, 0.00430447071174065, 0.06866696785918486, 0.048793606812474744, 0.022696429652577947, 0.01583823064839629, 0.01177465265077221, 0.03703735897261278, 0.015442867285001601, 0.0038951880899437755, 0.001684934281436767, 0.000636131683097941, 0.06428571428571428, 0.04823287823287824, 0.017111934192168735, 0.01124623971020338, 0.006906680396934495, 0.12072626032464019, 0.09508296831284657, 0.01865021712600459, 0.011079961011772327, 0.005416378861568388, 15.672229437229436, 10.776464923964927, 4.921721327020352, 3.408691576133582, 2.5090054537138666, 8.592370516315826, 3.544773484672127, 0.9083189963640103, 0.3668613221596328, 0.13594745324402982
