Node, InDeg, OutDeg, CloseCent, BetwnCent,  Influence, Redundancy, AvgDeathAge
0, 77, 139, 0.6098265895953757, 0.004141713680504889,  0.2546052043279978, 0.0, 1.9885854772148563
1, 69, 61, 0.596045197740113, 0.0016518083665994227,  0.1301457975986278, 0.0, 1.979818780889621
2, 75, 82, 0.6063218390804598, 0.0024419347498083866,  0.13943723415857787, 0.0, 1.9780993351583886
3, 78, 35, 0.6115942028985507, 0.0010805333760299065,  0.06483804122586978, 0.0, 1.9524838012958963
4, 75, 29, 0.6080691642651297, 0.0008054029626311371,  0.06387047424783274, 0.0, 1.956701030927835
5, 98, 45, 0.6492307692307693, 0.0018557662585020993,  0.0985236115552713, 0.0, 1.9737625101433596
6, 86, 109, 0.6279761904761905, 0.004739619315726855,  0.20974649843731918, 0.0, 1.9863566754837811
7, 98, 86, 0.6492307692307693, 0.00392946625790525,  0.17096180395766222, 0.0, 1.9838492597577388
8, 64, 69, 0.5877437325905293, 0.0021084765369377154,  0.14630636392708665, 0.0, 1.9815259560317753
9, 81, 44, 0.6187683284457478, 0.0015269240991174137,  0.094498622005512, 0.0, 1.9710518773287475
10, 84, 20, 0.6242603550295858, 0.0009783229392531347,  0.04435969490164594, 0.0, 1.9354647720544702
11, 87, 181, 0.6279761904761905, 0.008491812257201676,  0.3253713368125251, 0.0, 1.9909777914867366
12, 72, 48, 0.6028571428571429, 0.0014557129040580934,  0.1120436167605979, 0.0, 1.9774058577405857
13, 89, 62, 0.6317365269461078, 0.0028624030882851664,  0.10783618715236123, 0.0, 1.9719342604298356
14, 72, 37, 0.6011396011396012, 0.0009347588127594602,  0.0786243742780131, 0.0, 1.9645100502512562
15, 68, 37, 0.596045197740113, 0.001111077015000624,  0.0666745283018868, 0.0, 1.9531930333817127
16, 61, 144, 0.5828729281767956, 0.0036035190979912366,  0.30196674128557716, 0.0, 1.9912629070691024
17, 70, 53, 0.5977337110481586, 0.0015827940075597384,  0.10217460825071958, 0.0, 1.9713147410358565
18, 76, 150, 0.6063218390804598, 0.005776280390232708,  0.3077335894249237, 0.0, 1.9912804038549794
19, 74, 57, 0.6045845272206304, 0.0021196006109446175,  0.1055424528301887, 0.0, 1.9715909090909092
20, 98, 88, 0.6492307692307693, 0.004776816813267506,  0.19833091436865022, 0.0, 1.9874374923771192
21, 82, 59, 0.6205882352941177, 0.0027045654604664323,  0.1254262332348261, 0.0, 1.9783509903270382
22, 90, 84, 0.6355421686746988, 0.004177353699286061,  0.1879184418746196, 0.0, 1.9863462588749317
23, 79, 51, 0.6151603498542274, 0.0018984967513557334,  0.10121522225775503, 0.0, 1.97155889455326
24, 58, 76, 0.5765027322404371, 0.0019492747801359586,  0.13541040740295635, 0.0, 1.9780341690703351
25, 75, 44, 0.6063218390804598, 0.0013046940474412763,  0.08584905660377361, 0.0, 1.967032967032967
26, 92, 89, 0.6393939393939394, 0.006133218159942248,  0.1831874943031629, 0.0, 1.9850333291409885
27, 101, 94, 0.65527950310559, 0.005289114881799736,  0.18616022918107283, 0.0, 1.9851419474661713
28, 79, 43, 0.6133720930232558, 0.0013427098414606489,  0.08054135073179335, 0.0, 1.9625069949636262
29, 98, 120, 0.6492307692307693, 0.005696505287361103,  0.25218096977074456, 0.0, 1.989541432019308
30, 77, 113, 0.6115942028985507, 0.004729392870202424,  0.24161425576519918, 0.0, 1.9890590809628008
31, 93, 24, 0.6393939393939394, 0.0009330268626740958,  0.052663706992230865, 0.0, 1.9463307776560788
32, 102, 69, 0.6573208722741433, 0.003031925160842168,  0.13454627133872418, 0.0, 1.9791318864774625
33, 80, 44, 0.6151603498542274, 0.0013489779704079473,  0.09216472714947464, 0.0, 1.9708856880171621
34, 91, 32, 0.6374622356495468, 0.001125508823925813,  0.06801582471089472, 0.0, 1.9585253456221199
35, 79, 114, 0.6133720930232558, 0.004895809749388679,  0.22904850098391027, 0.0, 1.9878934624697338
36, 100, 84, 0.653250773993808, 0.004149458225371819,  0.16132075471698115, 0.0, 1.9824561403508771
37, 72, 67, 0.6011396011396012, 0.001786619938939346,  0.1532166401454876, 0.0, 1.9834399698908542
38, 100, 111, 0.653250773993808, 0.006843700628780313,  0.24084849169585365, 0.0, 1.9893280168875338
39, 87, 78, 0.6279761904761905, 0.002965120180461005,  0.14761831116609958, 0.0, 1.9806181246726036
40, 89, 151, 0.6336336336336337, 0.007599489674732854,  0.29037033319951827, 0.0, 2.154019111860596
41, 58, 153, 0.5780821917808219, 0.0041523076112947605,  0.305023214462116, 0.0, 1.9910128734515424
42, 86, 80, 0.6279761904761905, 0.004093944007822631,  0.1659186664224217, 0.0, 1.9835149483095837
43, 89, 100, 0.6317365269461078, 0.004566494770913423,  0.2098031173092699, 0.0, 1.987166831194472
44, 96, 87, 0.647239263803681, 0.004140432688641276,  0.1610512129380054, 0.0, 1.9816643159379408
45, 88, 121, 0.6298507462686567, 0.005233449029644138,  0.2467469095640859, 0.0, 1.9890573500329598
46, 74, 54, 0.6045845272206304, 0.001969748903014128,  0.11564413344995628, 0.0, 1.9773095623987034
47, 94, 76, 0.6413373860182371, 0.0037809840948725797,  0.16608738828202582, 0.0, 1.9845540607872447
