Node, InDeg, OutDeg, CloseCent, BetwnCent,  Influence, Redundancy, AvgDeathAge
0, 77, 139, 0.6098265895953757, 0.004141713680504889,  0.28908355795148244, 0.0, 2.9857734557896634
1, 69, 61, 0.596045197740113, 0.0016518083665994227,  0.40283018867924525, 0.0, 2.9958980733374765
2, 75, 82, 0.6063218390804598, 0.0024419347498083866,  0.48584905660377353, 0.0, 2.9762348045121017
3, 78, 35, 0.6115942028985507, 0.0010805333760299065,  0.6397405660377358, 0.0, 2.9862245519931734
4, 75, 29, 0.6080691642651297, 0.0008054029626311371,  0.18598382749326145, 0.0, 2.9592188397472716
5, 98, 45, 0.6492307692307693, 0.0018557662585020993,  0.2535377358490566, 0.0, 2.9962774957698817
6, 86, 109, 0.6279761904761905, 0.004739619315726855,  0.2258909853249476, 0.0, 2.995153473344103
7, 98, 86, 0.6492307692307693, 0.00392946625790525,  0.3036556603773585, 0.0, 2.9755829903978053
8, 64, 69, 0.5877437325905293, 0.0021084765369377154,  0.5023584905660377, 0.0, 2.986252892337008
9, 81, 44, 0.6187683284457478, 0.0015269240991174137,  0.4952830188679246, 0.0, 2.9832483612527314
10, 84, 20, 0.6242603550295858, 0.0009783229392531347,  0.19425385934819894, 0.0, 2.9868499701135685
11, 87, 181, 0.6279761904761905, 0.008491812257201676,  0.6438679245283018, 0.0, 2.983522431143006
12, 72, 48, 0.6028571428571429, 0.0014557129040580934,  0.14952830188679248, 0.0, 2.968310829429595
13, 89, 62, 0.6317365269461078, 0.0028624030882851664,  0.42183288409703507, 0.0, 2.9749093331359635
14, 72, 37, 0.6011396011396012, 0.0009347588127594602,  0.3078902229845626, 0.0, 2.9646186947167106
15, 68, 37, 0.596045197740113, 0.001111077015000624,  0.40283018867924536, 0.0, 2.990153846153846
16, 61, 144, 0.5828729281767956, 0.0036035190979912366,  0.5276280323450135, 0.0, 2.9823432513126735
17, 70, 53, 0.5977337110481586, 0.0015827940075597384,  0.14308176100628933, 0.0, 2.984861407249467
18, 76, 150, 0.6063218390804598, 0.005776280390232708,  0.3779481132075472, 0.0, 2.9896824601823098
19, 74, 57, 0.6045845272206304, 0.0021196006109446175,  0.7130503144654088, 0.0, 2.9904538006696586
20, 98, 88, 0.6492307692307693, 0.004776816813267506,  0.4732704402515723, 0.0, 2.953884548611111
21, 82, 59, 0.6205882352941177, 0.0027045654604664323,  0.07429245283018868, 0.0, 1.9516129032258065
22, 90, 84, 0.6355421686746988, 0.004177353699286061,  0.8288409703504043, 0.0, 2.982533446591633
23, 79, 51, 0.6151603498542274, 0.0018984967513557334,  0.215633423180593, 0.0, 2.9098309329993737
24, 58, 76, 0.5765027322404371, 0.0019492747801359586,  0.40943396226415096, 0.0, 2.972912353347136
25, 75, 44, 0.6063218390804598, 0.0013046940474412763,  0.3364779874213837, 0.0, 2.9917203311867526
26, 92, 89, 0.6393939393939394, 0.006133218159942248,  0.15536556603773588, 0.0, 2.9867600580849065
27, 101, 94, 0.65527950310559, 0.005289114881799736,  0.4466981132075472, 0.0, 2.986685245394024
28, 79, 43, 0.6133720930232558, 0.0013427098414606489,  0.35338050314465413, 0.0, 2.988685556867375
29, 98, 120, 0.6492307692307693, 0.005696505287361103,  0.3779481132075472, 0.0, 2.9845604779269146
30, 77, 113, 0.6115942028985507, 0.004729392870202424,  0.29919137466307283, 0.0, 2.9628786801308493
31, 93, 24, 0.6393939393939394, 0.0009330268626740958,  0.34014675052410903, 0.0, 2.9841743416785573
32, 102, 69, 0.6573208722741433, 0.003031925160842168,  0.06886792452830189, 0.0, 1.9452054794520548
33, 80, 44, 0.6151603498542274, 0.0013489779704079473,  0.0047169811320754715, 0.0, 1.0
34, 91, 32, 0.6374622356495468, 0.001125508823925813,  0.2670990566037736, 0.0, 2.964695498676081
35, 79, 114, 0.6133720930232558, 0.004895809749388679,  0.5080862533692722, 0.0, 2.987737404905038
36, 100, 84, 0.653250773993808, 0.004149458225371819,  0.4640783744557329, 0.0, 2.992453104023802
37, 72, 67, 0.6011396011396012, 0.001786619938939346,  0.5172955974842767, 0.0, 2.9825714496713682
38, 100, 111, 0.653250773993808, 0.006843700628780313,  0.36320754716981124, 0.0, 2.986766103677707
39, 87, 78, 0.6279761904761905, 0.002965120180461005,  0.37683438155136273, 0.0, 2.9899092558983664
