Node, Influence, Redundancy, AvgDeathAge
0, 0.032403493941955484, 0.07692307692307693, 3.051282051282051
1, 0.038461538461538464, 0.08333333333333333, 3.611111111111111
2, 0.03621378621378621, 0.06818181818181818, 3.4545454545454546
3, 0.03585887796414112, 0.05263157894736842, 3.4473684210526314
4, 0.04497354497354495, 0.05555555555555555, 4.407407407407407
5, 0.04480135249366019, 0.07692307692307693, 4.3076923076923075
6, 0.04212454212454212, 0.08333333333333333, 4.0
7, 0.02642038812251579, 0.10638297872340426, 2.5531914893617023
8, 0.030636030636030643, 0.0, 2.8181818181818183
9, 0.03267784846732215, 0.05263157894736842, 3.0526315789473686
10, 0.023713128976286867, 0.02631578947368421, 2.289473684210526
11, 0.03701561596298439, 0.05263157894736842, 3.4473684210526314
12, 0.04040077569489335, 0.029411764705882353, 3.764705882352941
13, 0.04029304029304029, 0.1111111111111111, 3.8666666666666667
14, 0.04337767495662232, 0.0, 4.0
15, 0.0300187617260788, 0.0975609756097561, 2.8292682926829267
16, 0.04017857142857143, 0.09375, 3.84375
17, 0.03752850922662244, 0.03773584905660377, 3.452830188679245
18, 0.041292041292041295, 0.09090909090909091, 3.9696969696969697
19, 0.04370048556095068, 0.046511627906976744, 4.116279069767442
20, 0.04171338865216416, 0.061224489795918366, 4.0
21, 0.02832722832722833, 0.044444444444444446, 2.7555555555555555
22, 0.043189368770764125, 0.023255813953488372, 4.046511627906977
23, 0.04128304128304128, 0.0, 3.7837837837837838
24, 0.0467032967032967, 0.019230769230769232, 4.346153846153846
25, 0.037802197802197804, 0.02, 3.4901960784313726
26, 0.03961155123945821, 0.046511627906976744, 3.7674418604651163
27, 0.04344492716585739, 0.06976744186046512, 4.116279069767442
28, 0.03799058084772371, 0.0, 3.4857142857142858
29, 0.025117739403453687, 0.14285714285714285, 2.4571428571428573
30, 0.04354904354904355, 0.037037037037037035, 4.074074074074074
31, 0.04395604395604395, 0.025, 4.1
32, 0.04493284493284494, 0.06666666666666667, 4.288888888888889
33, 0.03858363858363858, 0.06666666666666667, 3.6444444444444444
34, 0.04095904095904096, 0.09090909090909091, 4.0606060606060606
35, 0.046703296703296704, 0.07142857142857142, 4.464285714285714
36, 0.03736263736263736, 0.06666666666666667, 3.533333333333333
37, 0.03323505762530153, 0.0975609756097561, 3.1707317073170733
38, 0.044444444444444446, 0.022222222222222223, 4.222222222222222
39, 0.02902225979149056, 0.07692307692307693, 2.871794871794872
40, 0.04191157679529773, 0.023255813953488372, 3.9069767441860463
41, 0.03553113553113552, 0.06666666666666667, 3.316666666666667
42, 0.02346302346302346, 0.02702702702702703, 2.1621621621621623
43, 0.038461538461538464, 0.022727272727272728, 3.6136363636363638
44, 0.040122668029644766, 0.06976744186046512, 3.813953488372093
45, 0.037637362637362635, 0.2, 3.775
46, 0.04714640198511167, 0.12903225806451613, 4.483870967741935
47, 0.03332151719248494, 0.0, 3.129032258064516
48, 0.02766199317923456, 0.0, 2.586206896551724
49, 0.04325461772270282, 0.06382978723404255, 4.1063829787234045
50, 0.0272108843537415, 0.047619047619047616, 2.7209302325581395
51, 0.040775014459225, 0.05263157894736842, 3.8157894736842106
52, 0.043406593406593405, 0.025, 4.1
53, 0.04092459264873058, 0.06896551724137931, 3.9310344827586206
54, 0.041862899005756155, 0.023809523809523808, 3.880952380952381
55, 0.03893249607535322, 0.02857142857142857, 3.6285714285714286
56, 0.041047188106011635, 0.029411764705882353, 3.7714285714285714
57, 0.04356357927786499, 0.0, 4.0
58, 0.0407239819004525, 0.058823529411764705, 3.742857142857143
59, 0.03329023917259212, 0.0, 3.1176470588235294
60, 0.027472527472527472, 0.0, 2.5625
61, 0.03396603396603397, 0.045454545454545456, 3.25
62, 0.04037822642473806, 0.06976744186046512, 3.977272727272727
63, 0.03713527851458886, 0.034482758620689655, 3.586206896551724
64, 0.04540196645459803, 0.07894736842105263, 4.315789473684211
65, 0.028410613776467437, 0.0, 2.658536585365854
66, 0.03796203796203797, 0.09090909090909091, 3.5757575757575757
67, 0.040293040293040296, 0.05128205128205128, 3.7435897435897436
68, 0.044180309486431944, 0.061224489795918366, 4.26530612244898
69, 0.04077501445922499, 0.10526315789473684, 3.8421052631578947
70, 0.03767660910518054, 0.04081632653061224, 3.5306122448979593
71, 0.041693600517129926, 0.14705882352941177, 3.9411764705882355
72, 0.03992673992673994, 0.1, 3.7419354838709675
73, 0.03099464637926177, 0.07692307692307693, 2.9743589743589745
74, 0.03924646781789639, 0.08163265306122448, 3.84
75, 0.04004884004884005, 0.022222222222222223, 3.8
76, 0.03989488772097469, 0.13043478260869565, 3.8297872340425534
77, 0.0347985347985348, 0.1111111111111111, 3.5
78, 0.04439560439560441, 0.0, 4.2
79, 0.03876678876678877, 0.05555555555555555, 3.72972972972973
80, 0.03888419273034657, 0.0, 3.6153846153846154
81, 0.030677655677655676, 0.0625, 2.8541666666666665
82, 0.042909471480900054, 0.047619047619047616, 4.023809523809524
83, 0.039460539460539464, 0.0, 3.659090909090909
84, 0.039560439560439566, 0.0, 3.675
85, 0.03621378621378621, 0.022727272727272728, 3.311111111111111
86, 0.041025641025641026, 0.0, 3.760869565217391
87, 0.0363482671174979, 0.0, 3.3333333333333335
88, 0.04005671747607232, 0.03225806451612903, 3.7096774193548385
89, 0.040934065934065934, 0.05, 3.85
90, 0.043014128728414446, 0.05714285714285714, 4.0
