8.246376811594203105e+00,8.608695652173912194e+00,7.947867298578199069e+00,1.434418923551594061e+00,6.866851595006934872e+00,nan,1.004347826086956452e+01,nan,nan,nan,nan,nan,nan,nan,nan,1.004347826086956452e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.004347826086956452e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.612836438923395121e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.943680759665385338e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.767605633802816989e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.231344963421496885e+01,9.673469387755101678e+00,nan,nan,1.807323452484742887e+01,1.438993710691823935e+01,8.006493506493505663e+00,1.004347826086956452e+01,nan,6.073170731707317138e+00,nan,nan,nan,nan,1.113891285591026659e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.006493506493505663e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.107685433422698829e+01,nan,nan,nan,nan
1.950213701306631009e+01,1.413866850638151007e+01,1.441275282824820003e+01,2.254065687283615560e+01,1.326811961479979729e+01,nan,1.256338028169014009e+01,nan,1.021062106210621145e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.214055636896046764e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.475619295958279054e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.465594777562862738e+01,1.182529572338489565e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.636843233969547384e+01,1.205928853754940633e+01,nan,nan,1.252380952380952372e+01,1.087778768956288999e+01,1.276910299003322180e+01,1.256338028169014009e+01,nan,1.256338028169014009e+01,nan,nan,nan,nan,9.233565961278703327e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.292411924119241107e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.379434447300771183e+01,nan,nan,nan,nan
5.694477085781433523e+00,5.772439949431100281e+00,6.191744340878828190e+00,1.559382086167800496e+00,7.753597122302158695e+00,nan,9.325942350332594444e+00,nan,nan,nan,nan,nan,nan,nan,nan,9.325942350332594444e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.979545454545454497e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.545797922568461047e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.249034749034748870e+00,9.057939914163089412e+00,nan,nan,nan,nan,7.537151702786378138e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.537151702786378138e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.534213685474189681e+00,4.363473589973142275e+00,3.922897196261682318e+00,5.372822299651567768e+00,8.273972602739725346e+00,nan,9.428571428571428825e+00,nan,nan,nan,nan,nan,nan,nan,nan,9.428571428571428825e+00,nan,nan,nan,nan,nan,nan,nan,nan,3.825622254758418705e+01,nan,nan,nan,1.511591355599214204e+01,nan,nan,5.925539318023660407e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.688368910782703836e+01,nan,nan,4.397063003315963670e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.047043010752688019e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.418367346938775420e+00,9.428571428571428825e+00,nan,nan,nan,nan,8.161849710982659545e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.161849710982659545e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.003724137931034477e+01,1.066392092257001600e+01,1.025996810207336551e+01,5.213639106819553781e+00,1.178287461773700251e+01,nan,1.178287461773700251e+01,7.895412198980488405e+00,1.178287461773700251e+01,1.178287461773700251e+01,1.178287461773700251e+01,nan,1.196348314606741603e+01,nan,nan,1.178287461773700251e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.178287461773700251e+01,nan,nan,8.319930675909878559e+00,1.178287461773700251e+01,1.178287461773700251e+01,nan,nan,nan,nan,nan,nan,1.178287461773700251e+01,nan,nan,nan,nan,nan,nan,1.178287461773700251e+01,nan,1.178287461773700251e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.178287461773700251e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.178287461773700251e+01,1.178287461773700251e+01,1.189855072463768160e+01,1.196348314606741603e+01,1.178287461773700251e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.178287461773700251e+01,1.130994152046783618e+01,1.138936347870768806e+01,nan,1.178287461773700251e+01,1.178287461773700251e+01,1.063387978142076484e+01,1.178287461773700251e+01,nan,1.178287461773700251e+01,nan,nan,nan,nan,1.178287461773700251e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.063387978142076484e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.178287461773700251e+01
nan,nan,nan,nan,1.000000000000000000e+00,nan,nan,nan,1.000000000000000000e+00,1.000000000000000000e+00,nan,nan,nan,nan,nan,1.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,nan,nan,nan,1.000000000000000000e+00,1.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,1.000000000000000000e+00,nan,nan,1.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,1.000000000000000000e+00,nan,1.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.729437229437229107e+00,8.519553072625697610e+00,nan,nan,1.484615384615384670e+01,nan,1.484615384615384670e+01,1.484615384615384670e+01,1.484615384615384670e+01,1.484615384615384670e+01,1.484615384615384670e+01,nan,1.396808510638297918e+01,nan,nan,1.484615384615384670e+01,1.484615384615384670e+01,nan,1.484615384615384670e+01,nan,1.484615384615384670e+01,nan,nan,nan,1.484615384615384670e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.445179143606175387e+01,1.484615384615384670e+01,1.484615384615384670e+01,nan,1.484615384615384670e+01,4.358208955223880743e+00,1.484615384615384670e+01,1.484615384615384670e+01,1.484615384615384670e+01,nan,nan,nan,nan,nan,1.484615384615384670e+01,1.484615384615384670e+01,nan,nan,nan,1.484615384615384670e+01,1.484615384615384670e+01,1.484615384615384670e+01,nan,1.484615384615384670e+01,nan,nan,nan,nan,nan,nan,1.484615384615384670e+01,nan,nan,nan,1.484615384615384670e+01,nan,nan,1.484615384615384670e+01,nan,1.484615384615384670e+01,1.484615384615384670e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.484615384615384670e+01,1.484615384615384670e+01,1.484615384615384670e+01,1.396808510638297918e+01,1.484615384615384670e+01,1.484615384615384670e+01,1.484615384615384670e+01,nan,1.484615384615384670e+01,nan,1.484615384615384670e+01,1.484615384615384670e+01,nan,nan,nan,1.484615384615384670e+01,1.484615384615384670e+01,nan,nan,1.484615384615384670e+01,1.484615384615384670e+01,1.484615384615384670e+01,1.484615384615384670e+01,1.484615384615384670e+01,1.484615384615384670e+01,1.484615384615384670e+01,nan,1.484615384615384670e+01,1.484615384615384670e+01,1.484615384615384670e+01,nan,1.633846702548472862e+01,nan,1.484615384615384670e+01,1.484615384615384670e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.812500000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,1.484615384615384670e+01,1.484615384615384670e+01,nan,nan,nan,1.484615384615384670e+01,nan,nan,nan,1.484615384615384670e+01,nan,nan,nan,nan,nan,nan,nan,nan,1.484615384615384670e+01,1.484615384615384670e+01,nan,1.484615384615384670e+01,nan,1.484615384615384670e+01,1.484615384615384670e+01,nan,1.484615384615384670e+01,7.136052303860522805e+00,nan,nan,nan,1.484615384615384670e+01,nan,nan,nan,nan,nan,nan,nan,1.484615384615384670e+01
nan,nan,nan,nan,1.270512597741094751e+01,nan,2.261725663716813983e+01,1.434198122016628396e+01,1.495262883914627849e+01,1.474829931972789154e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.460758620689655096e+01,nan,nan,nan,1.459613769941225847e+01,1.335517498138495895e+01,nan,nan,nan,nan,nan,nan,1.118053197509903818e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.744555407604675423e+01,1.519645821804095220e+01,nan,nan,1.458084772370486704e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.732875810372771497e+01,1.464131245339298992e+01,nan,nan,nan,nan,nan,1.421475256769374340e+01,nan,1.696766917293233234e+01,nan,nan,nan,nan,1.635240793201133158e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,1.449222797927461137e+01,nan,1.449222797927461137e+01,2.220113314447592145e+01,1.449222797927461137e+01,1.449222797927461137e+01,1.449222797927461137e+01,1.237127371273712662e+01,1.338288288288288364e+01,3.891944990176817498e+00,nan,1.449222797927461137e+01,1.449222797927461137e+01,nan,1.449222797927461137e+01,nan,1.094769230769230717e+01,nan,nan,nan,1.449222797927461137e+01,nan,nan,nan,1.449222797927461137e+01,nan,nan,1.449222797927461137e+01,nan,nan,1.449222797927461137e+01,1.449222797927461137e+01,nan,nan,nan,nan,1.354935622317596611e+01,nan,nan,nan,1.449222797927461137e+01,1.449222797927461137e+01,1.449222797927461137e+01,nan,nan,nan,nan,nan,1.449222797927461137e+01,nan,nan,nan,nan,1.449222797927461137e+01,1.449222797927461137e+01,1.449222797927461137e+01,3.797009966777408607e+01,1.449222797927461137e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.449222797927461137e+01,nan,nan,3.629433272394881271e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.449222797927461137e+01,1.449222797927461137e+01,1.449222797927461137e+01,1.338288288288288364e+01,1.449222797927461137e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.449222797927461137e+01,1.449222797927461137e+01,1.409615384615384670e+01,9.417543859649123661e+00,1.449222797927461137e+01,1.449222797927461137e+01,1.449222797927461137e+01,1.373706896551724199e+01,1.449222797927461137e+01,nan,1.449222797927461137e+01,nan,nan,nan,1.449222797927461137e+01,1.449222797927461137e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.373706896551724199e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.449222797927461137e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.432663316582914526e+01,nan,nan,nan,1.449222797927461137e+01
nan,nan,nan,nan,1.336206896551724199e+01,nan,1.336206896551724199e+01,2.372905696505505091e+00,1.336206896551724199e+01,1.336206896551724199e+01,1.336206896551724199e+01,2.841877702285361185e+00,1.336206896551724199e+01,1.000000000000000000e+01,nan,1.336206896551724199e+01,nan,nan,1.336206896551724199e+01,nan,nan,nan,nan,nan,1.336206896551724199e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.336206896551724199e+01,nan,nan,nan,1.336206896551724199e+01,1.336206896551724199e+01,nan,nan,nan,nan,nan,nan,1.336206896551724199e+01,nan,nan,nan,nan,1.336206896551724199e+01,1.336206896551724199e+01,1.336206896551724199e+01,8.087314662273476173e+00,1.336206896551724199e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.336206896551724199e+01,1.336206896551724199e+01,1.336206896551724199e+01,1.336206896551724199e+01,1.336206896551724199e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.336206896551724199e+01,1.336206896551724199e+01,1.336206896551724199e+01,5.509433962264150608e+00,1.336206896551724199e+01,1.336206896551724199e+01,1.336206896551724199e+01,1.336206896551724199e+01,1.336206896551724199e+01,nan,1.336206896551724199e+01,nan,nan,nan,1.336206896551724199e+01,1.336206896551724199e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.336206896551724199e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.336206896551724199e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.336206896551724199e+01
