Time of Death, Message ID, Age at Death, Place of Death, Place Before Death
28, 246, 2, 57, 56
28, 251, 2, 57, 148
28, 254, 1, 57, 57
28, 206, 7, 89, 21
28, 165, 11, 89, 136
28, 198, 7, 143, 94
28, 259, 1, 143, 143
28, 249, 2, 149, 93
28, 260, 1, 149, 149
30, 223, 7, 89, 11
30, 261, 2, 89, 15
30, 239, 5, 98, 103
30, 231, 6, 98, 121
30, 267, 2, 101, 142
30, 271, 1, 101, 101
30, 272, 1, 101, 101
30, 213, 8, 143, 122
30, 225, 6, 143, 161
30, 264, 2, 161, 81
30, 265, 2, 161, 85
30, 174, 9, 183, 30
30, 278, 1, 183, 183
31, 262, 3, 35, 31
31, 270, 2, 35, 34
31, 234, 6, 94, 112
31, 176, 13, 94, 113
31, 268, 3, 157, 77
31, 247, 5, 157, 166
31, 142, 17, 159, 55
31, 244, 5, 159, 82
31, 257, 4, 159, 94
32, 279, 2, 45, 5
32, 282, 2, 45, 67
32, 275, 3, 58, 145
32, 292, 1, 58, 58
33, 156, 1, 64, 64
33, 221, 10, 64, 72
33, 266, 5, 89, 42
33, 269, 5, 89, 90
33, 283, 3, 161, 94
33, 222, 10, 161, 151
34, 297, 2, 4, 2
34, 295, 3, 4, 122
34, 284, 4, 85, 54
34, 290, 3, 85, 164
34, 285, 4, 157, 45
34, 286, 4, 157, 128
34, 312, 1, 157, 157
34, 218, 11, 167, 100
34, 287, 4, 167, 153
34, 313, 1, 167, 167
35, 299, 3, 29, 35
35, 273, 6, 29, 53
35, 306, 2, 31, 29
35, 307, 2, 31, 48
35, 288, 4, 72, 89
35, 310, 2, 72, 151
35, 274, 6, 107, 104
35, 311, 2, 107, 152
35, 291, 4, 144, 46
35, 281, 5, 144, 73
35, 298, 3, 165, 40
35, 243, 9, 165, 160
35, 300, 3, 179, 45
35, 308, 2, 179, 97
35, 296, 4, 183, 10
35, 294, 4, 183, 28
36, 276, 7, 28, 27
36, 256, 9, 28, 129
36, 315, 2, 44, 9
36, 319, 2, 44, 86
36, 263, 8, 115, 20
36, 217, 13, 115, 89
36, 293, 5, 162, 106
36, 305, 4, 162, 117
36, 314, 3, 162, 168
37, 320, 3, 12, 12
37, 333, 1, 12, 12
37, 323, 3, 106, 151
37, 336, 1, 106, 106
37, 332, 2, 154, 155
37, 339, 1, 154, 154
38, 277, 9, 35, 135
38, 322, 4, 35, 140
38, 301, 6, 113, 96
38, 337, 2, 113, 114
38, 317, 4, 117, 8
38, 325, 3, 117, 20
38, 255, 11, 168, 82
38, 248, 12, 168, 124
38, 350, 1, 168, 168
38, 328, 3, 183, 52
38, 289, 6, 183, 68
39, 352, 1, 51, 51
39, 353, 1, 51, 51
39, 344, 2, 72, 67
39, 318, 5, 72, 104
39, 348, 2, 82, 129
39, 356, 1, 82, 82
39, 347, 2, 94, 128
39, 357, 1, 94, 94
39, 358, 1, 94, 94
39, 331, 4, 153, 77
39, 324, 4, 153, 153
40, 335, 4, 31, 65
40, 309, 7, 31, 73
40, 342, 3, 108, 18
40, 203, 19, 108, 115
40, 321, 6, 140, 143
40, 364, 1, 140, 140
40, 349, 3, 144, 55
40, 346, 3, 144, 149
40, 366, 1, 144, 144
40, 316, 6, 155, 54
40, 367, 1, 155, 155
41, 341, 5, 58, 55
41, 304, 9, 58, 89
41, 351, 3, 72, 34
41, 373, 1, 72, 72
41, 280, 11, 78, 170
41, 374, 1, 78, 78
41, 362, 2, 82, 130
41, 363, 2, 82, 132
42, 361, 3, 35, 53
42, 365, 3, 35, 60
42, 302, 10, 35, 61
42, 343, 5, 55, 19
42, 303, 10, 55, 136
42, 345, 5, 61, 90
42, 376, 2, 61, 104
42, 326, 7, 133, 46
42, 355, 4, 133, 153
42, 385, 1, 133, 133
43, 371, 3, 6, 74
43, 327, 8, 6, 75
43, 258, 16, 6, 107
43, 330, 4, 150, 57
43, 393, 1, 150, 150
43, 384, 2, 175, 123
43, 395, 1, 175, 175
44, 359, 6, 34, 29
44, 334, 8, 34, 45
44, 380, 3, 53, 24
44, 386, 3, 53, 44
44, 245, 18, 59, 108
44, 372, 4, 59, 140
44, 329, 9, 92, 52
44, 392, 2, 92, 136
45, 388, 3, 6, 167
45, 390, 3, 6, 176
45, 401, 2, 75, 115
45, 377, 5, 75, 122
45, 391, 3, 90, 114
45, 408, 1, 90, 90
45, 399, 2, 94, 102
45, 387, 3, 94, 143
45, 80, 1, 181, 181
45, 413, 1, 181, 181
46, 370, 6, 15, 52
46, 368, 7, 15, 112
46, 406, 2, 28, 29
46, 403, 3, 28, 72
46, 338, 10, 28, 113
46, 375, 6, 28, 164
46, 405, 2, 59, 22
46, 396, 3, 59, 139
46, 397, 3, 101, 45
46, 383, 5, 101, 153
46, 411, 2, 129, 151
46, 421, 1, 129, 129
47, 416, 2, 9, 58
47, 425, 1, 9, 9
47, 409, 3, 68, 24
47, 418, 2, 68, 87
47, 389, 5, 91, 44
47, 420, 2, 91, 111
48, 415, 3, 59, 117
48, 412, 4, 59, 168
48, 424, 2, 109, 2
48, 438, 1, 109, 109
48, 428, 2, 116, 100
48, 394, 6, 116, 104
48, 430, 2, 116, 173
48, 340, 12, 157, 35
48, 427, 2, 157, 69
49, 423, 3, 1, 3
49, 441, 1, 1, 1
49, 407, 5, 53, 45
49, 434, 2, 53, 67
49, 429, 3, 72, 78
49, 439, 2, 72, 137
49, 410, 5, 106, 26
49, 379, 8, 106, 55
50, 445, 2, 6, 39
50, 398, 7, 6, 113
50, 443, 2, 52, 24
50, 369, 10, 52, 60
50, 447, 2, 57, 104
50, 448, 2, 57, 149
50, 431, 4, 161, 160
50, 457, 1, 161, 161
51, 454, 2, 8, 58
51, 459, 1, 8, 8
51, 453, 2, 46, 26
51, 417, 6, 46, 53
51, 437, 4, 88, 9
51, 449, 3, 88, 115
51, 456, 2, 89, 107
51, 464, 1, 89, 89
51, 360, 12, 115, 143
51, 458, 2, 115, 173
52, 432, 5, 15, 124
52, 468, 1, 15, 15
52, 451, 3, 61, 9
52, 442, 4, 61, 15
52, 460, 2, 61, 17
52, 455, 3, 72, 149
52, 472, 1, 72, 72
52, 467, 2, 93, 170
52, 473, 1, 93, 93
52, 461, 2, 179, 44
52, 465, 2, 179, 97
53, 426, 7, 61, 59
53, 480, 1, 61, 61
53, 463, 3, 112, 21
53, 402, 10, 112, 157
54, 471, 3, 28, 18
54, 422, 9, 28, 30
54, 419, 9, 35, 46
54, 483, 2, 35, 128
54, 414, 9, 44, 40
54, 481, 2, 44, 71
54, 474, 3, 153, 72
54, 485, 2, 153, 156
55, 378, 14, 6, 16
55, 450, 6, 6, 20
55, 486, 2, 46, 19
55, 490, 2, 46, 105
55, 400, 12, 61, 56
55, 446, 7, 61, 57
55, 469, 4, 178, 26
55, 479, 3, 178, 106
56, 470, 5, 10, 92
56, 493, 3, 10, 115
56, 477, 4, 40, 40
56, 496, 2, 40, 43
56, 462, 6, 40, 44
56, 488, 3, 40, 52
56, 476, 5, 115, 57
56, 499, 2, 115, 99
56, 495, 2, 166, 26
56, 503, 2, 166, 176
56, 482, 4, 183, 110
56, 382, 3, 183, 157
57, 440, 10, 45, 11
57, 513, 1, 45, 45
57, 514, 1, 45, 45
57, 504, 2, 113, 0
57, 491, 4, 113, 109
57, 507, 2, 122, 78
57, 519, 1, 122, 122
58, 381, 1, 63, 63
58, 524, 1, 63, 63
58, 506, 3, 113, 59
58, 518, 2, 113, 109
58, 497, 4, 113, 116
58, 529, 1, 113, 113
58, 478, 6, 122, 52
58, 517, 2, 122, 100
58, 475, 7, 143, 85
58, 487, 5, 143, 86
58, 498, 4, 161, 87
58, 508, 3, 161, 101
59, 354, 1, 64, 64
59, 532, 1, 64, 64
59, 452, 10, 72, 6
59, 435, 12, 72, 45
59, 433, 12, 115, 39
59, 466, 9, 115, 89
59, 500, 5, 116, 175
59, 536, 1, 116, 116
60, 436, 13, 8, 113
60, 540, 1, 8, 8
60, 541, 1, 16, 16
60, 542, 1, 16, 16
60, 531, 2, 35, 43
60, 537, 2, 35, 128
60, 510, 5, 40, 21
60, 528, 3, 40, 52
60, 515, 4, 53, 26
60, 494, 7, 53, 34
60, 505, 5, 117, 40
60, 484, 8, 117, 165
60, 522, 3, 161, 55
60, 527, 3, 161, 136
61, 526, 4, 8, 72
61, 549, 1, 8, 8
61, 539, 3, 52, 59
61, 551, 1, 52, 52
61, 516, 5, 109, 2
61, 534, 3, 109, 9
61, 511, 6, 115, 39
61, 520, 5, 115, 144
61, 501, 7, 154, 129
61, 555, 1, 154, 154
61, 404, 1, 182, 182
61, 557, 1, 182, 182
62, 547, 3, 44, 89
62, 560, 1, 44, 44
62, 550, 2, 53, 25
62, 521, 6, 53, 101
62, 512, 7, 59, 9
62, 546, 3, 59, 113
62, 530, 5, 144, 156
62, 523, 5, 144, 171
62, 489, 9, 153, 73
62, 544, 3, 153, 94
62, 565, 1, 153, 153
62, 502, 8, 166, 162
62, 556, 2, 166, 177
63, 563, 2, 57, 89
63, 569, 1, 57, 57
63, 552, 3, 74, 45
63, 570, 1, 74, 74
64, 561, 3, 153, 72
64, 533, 6, 153, 117
64, 574, 2, 155, 126
