Node, Influence, Redundancy, AvgDeathAge
0, 0.07075471698113207, 0.0, 15.6
1, 0.0550314465408805, 0.16666666666666666, 12.666666666666666
2, 0.0550314465408805, 0.0, 12.166666666666666
3, 0.057547169811320756, 0.4, 13.0
4, 0.06671159029649595, 0.0, 15.142857142857142
5, 0.08760107816711592, 0.2857142857142857, 20.285714285714285
6, 0.009433962264150943, 0.0, 2.0
7, 0.04769392033542977, 0.0, 10.666666666666666
8, 0.08962264150943396, 0.0, 19.0
9, 0.03679245283018868, 0.0, 7.8
10, 0.036163522012578615, 0.0, 7.666666666666667
11, 0.07783018867924528, 0.0, 17.5
12, 0.09245283018867925, 0.0, 20.4
13, 0.025157232704402514, 0.16666666666666666, 5.666666666666667
14, 0.052830188679245285, 0.0, 11.4
15, 0.08176100628930819, 0.2222222222222222, 18.77777777777778
16, 0.08490566037735849, 0.25, 18.75
17, 0.062264150943396226, 0.0, 13.8
18, 0.057547169811320756, 0.2, 13.2
19, 0.07075471698113207, 0.0, 16.0
20, 0.13679245283018868, 0.0, 32.75
21, 0.07264150943396226, 0.0, 18.0
22, 0.04245283018867924, 0.0, 9.0
23, 0.054245283018867926, 0.0, 11.5
24, 0.1320754716981132, 0.3333333333333333, 28.666666666666668
25, 0.11477987421383647, 0.3333333333333333, 27.0
26, 0.06226415094339623, 0.0, 14.0
27, 0.12617924528301885, 0.5, 32.75
28, 0.05955188679245283, 0.0, 13.625
29, 0.057547169811320756, 0.0, 13.2
30, 0.04009433962264151, 0.0, 8.5
31, 0.10220125786163521, 0.0, 21.666666666666668
32, 0, 0, 0
33, 0.0669811320754717, 0.0, 15.4
34, 0.0990566037735849, 0.0, 26.0
35, 0.05188679245283019, 0.0, 11.0
36, 0.0518867924528302, 0.0, 11.333333333333334
37, 0.057277628032345006, 0.0, 13.0
38, 0.061320754716981125, 0.0, 13.833333333333334
39, 0.0784198113207547, 0.0, 17.375
40, 0.031446540880503145, 0.0, 6.666666666666667
41, 0.031446540880503145, 0.2222222222222222, 6.888888888888889
42, 0.06184486373165618, 0.2222222222222222, 14.0
43, 0.11037735849056604, 0.0, 25.2
44, 0.09366576819407009, 0.0, 21.428571428571427
45, 0.08018867924528301, 1.0, 19.0
46, 0.08962264150943396, 0.0, 19.0
47, 0.05817610062893081, 0.0, 12.5
