Time of Death, Message ID, Age at Death, Place of Death, Place Before Death
234, 231, 4, 44, 81
235, 228, 8, 81, 59
235, 229, 7, 81, 66
237, 222, 16, 25, 8
237, 235, 3, 25, 15
237, 219, 19, 63, 67
237, 234, 4, 63, 74
237, 236, 2, 63, 76
239, 238, 2, 7, 4
239, 220, 20, 7, 24
239, 230, 10, 11, 9
239, 239, 1, 11, 11
244, 243, 2, 42, 82
244, 244, 1, 42, 42
246, 232, 15, 65, 68
246, 242, 5, 65, 86
249, 248, 2, 37, 14
249, 247, 3, 37, 40
249, 246, 4, 37, 67
251, 241, 11, 62, 72
251, 251, 1, 62, 62
252, 250, 3, 15, 11
252, 240, 13, 15, 70
255, 254, 2, 16, 40
255, 245, 11, 16, 58
257, 237, 21, 34, 18
257, 249, 9, 34, 20
258, 253, 6, 17, 8
258, 258, 1, 17, 17
259, 256, 4, 88, 81
259, 259, 1, 88, 88
262, 257, 6, 15, 2
262, 252, 11, 15, 70
269, 260, 10, 8, 45
269, 266, 4, 8, 76
272, 263, 10, 29, 35
272, 265, 8, 29, 57
272, 261, 12, 29, 76
273, 272, 2, 50, 75
273, 267, 7, 50, 89
276, 270, 7, 36, 37
276, 269, 8, 36, 73
277, 275, 3, 63, 60
277, 277, 1, 63, 63
279, 255, 25, 44, 14
279, 264, 16, 44, 84
282, 274, 9, 10, 12
282, 279, 4, 10, 32
282, 271, 12, 50, 10
282, 281, 2, 50, 88
282, 262, 21, 61, 29
282, 273, 10, 61, 81
286, 268, 19, 47, 46
286, 283, 4, 47, 79
287, 284, 4, 9, 12
287, 285, 3, 9, 29
290, 282, 9, 60, 35
290, 288, 3, 60, 55
290, 289, 2, 60, 83
291, 280, 12, 21, 10
291, 287, 5, 21, 16
295, 286, 10, 85, 81
295, 295, 1, 85, 85
296, 291, 6, 18, 50
296, 290, 7, 18, 53
296, 294, 3, 47, 73
296, 278, 19, 47, 77
303, 292, 12, 8, 33
303, 301, 3, 8, 71
303, 276, 28, 10, 0
303, 298, 6, 10, 24
303, 303, 1, 10, 10
307, 300, 8, 29, 34
307, 293, 15, 29, 74
307, 296, 12, 48, 8
307, 306, 2, 48, 57
310, 309, 2, 73, 10
310, 307, 4, 73, 54
312, 311, 2, 9, 26
312, 299, 14, 9, 79
315, 297, 19, 42, 67
315, 310, 6, 42, 75
316, 302, 15, 40, 16
316, 316, 1, 40, 40
318, 314, 5, 50, 18
318, 318, 1, 50, 50
321, 304, 18, 37, 75
321, 320, 2, 37, 80
324, 308, 17, 18, 29
324, 322, 3, 18, 60
324, 312, 13, 52, 61
324, 315, 10, 52, 62
324, 321, 4, 61, 1
324, 323, 2, 61, 31
329, 325, 5, 81, 13
329, 326, 4, 81, 65
330, 317, 14, 44, 14
330, 324, 7, 44, 80
330, 305, 26, 53, 63
330, 319, 12, 53, 84
334, 330, 5, 8, 39
334, 329, 6, 8, 70
335, 331, 5, 21, 0
335, 332, 4, 21, 41
335, 334, 2, 37, 71
335, 335, 1, 37, 37
339, 313, 27, 39, 61
339, 327, 13, 39, 75
341, 336, 6, 48, 16
341, 339, 3, 48, 44
343, 337, 7, 30, 42
343, 341, 3, 30, 73
345, 343, 3, 59, 7
345, 344, 2, 59, 60
349, 345, 5, 47, 58
349, 328, 22, 47, 69
351, 342, 10, 7, 40
351, 340, 12, 7, 65
351, 349, 3, 37, 7
351, 350, 2, 37, 35
353, 346, 8, 65, 24
353, 338, 16, 65, 50
354, 352, 3, 42, 62
354, 354, 1, 42, 42
356, 348, 9, 8, 82
356, 351, 6, 8, 89
357, 356, 2, 61, 39
357, 357, 1, 61, 61
362, 360, 3, 16, 10
362, 333, 30, 16, 59
367, 366, 2, 22, 10
367, 353, 15, 22, 34
369, 368, 2, 21, 1
369, 361, 9, 21, 86
370, 359, 12, 39, 9
370, 364, 7, 39, 16
372, 347, 26, 29, 3
372, 363, 10, 29, 17
372, 370, 3, 29, 45
375, 355, 21, 29, 48
375, 373, 3, 29, 62
375, 367, 9, 42, 64
375, 374, 2, 42, 71
380, 365, 16, 25, 3
380, 358, 23, 25, 50
381, 375, 7, 67, 77
381, 381, 1, 67, 67
384, 369, 16, 41, 7
384, 380, 5, 41, 62
388, 382, 7, 40, 8
388, 371, 18, 40, 21
389, 372, 18, 21, 61
389, 389, 1, 21, 21
389, 362, 28, 42, 49
389, 386, 4, 42, 76
390, 383, 8, 9, 11
390, 384, 7, 9, 20
390, 376, 15, 60, 73
390, 390, 1, 60, 60
390, 378, 13, 78, 59
390, 385, 6, 78, 61
395, 391, 5, 63, 65
395, 387, 9, 63, 76
397, 377, 21, 15, 2
397, 392, 6, 15, 63
398, 393, 6, 62, 59
398, 398, 1, 62, 62
400, 397, 4, 15, 7
400, 388, 13, 15, 41
400, 399, 2, 81, 73
400, 400, 1, 81, 81
402, 395, 8, 61, 29
402, 394, 9, 61, 88
403, 401, 3, 47, 42
403, 402, 2, 47, 56
407, 406, 2, 61, 32
407, 404, 4, 61, 88
407, 379, 29, 65, 63
407, 396, 12, 65, 68
408, 403, 6, 37, 22
408, 407, 2, 37, 84
413, 410, 4, 48, 68
413, 405, 9, 48, 85
414, 413, 2, 42, 55
414, 411, 4, 42, 78
415, 414, 2, 61, 79
415, 415, 1, 61, 61
421, 412, 10, 50, 11
421, 420, 2, 50, 82
421, 421, 1, 50, 50
422, 418, 5, 63, 0
422, 422, 1, 63, 63
424, 408, 17, 37, 63
424, 423, 2, 37, 72
427, 425, 3, 37, 39
427, 426, 2, 37, 66
431, 428, 4, 44, 41
431, 417, 15, 44, 69
432, 427, 6, 29, 33
432, 430, 3, 29, 64
435, 416, 20, 29, 41
