1.125000000000000000e+01,3.000000000000000000e+00,2.100000000000000000e+01,nan,nan,2.300000000000000000e+01,2.300000000000000000e+01,1.600000000000000000e+01,nan,1.200000000000000000e+01,2.000000000000000000e+01,nan,nan,nan,1.833333333333333215e+01,nan,9.000000000000000000e+00,8.333333333333333925e+00,nan,6.500000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.100000000000000000e+01,nan,nan,nan,nan,1.500000000000000000e+01,1.000000000000000000e+01,nan,nan,nan,nan,nan,nan,2.100000000000000000e+01,nan,1.366666666666666607e+01,1.000000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.666666666666666785e+01,7.599999999999999645e+00,nan,nan,nan,nan,nan,nan,nan,9.000000000000000000e+00,nan,1.437500000000000000e+01,1.800000000000000000e+01,6.000000000000000000e+00,6.500000000000000000e+00,2.000000000000000000e+00,nan,nan,1.250000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.350000000000000000e+01,1.233333333333333393e+01,nan,nan,nan,nan,1.400000000000000000e+01,nan,nan,nan,nan,nan,nan,6.000000000000000000e+00,1.000000000000000000e+00,nan,nan,nan,1.100000000000000000e+01,1.666666666666666785e+01,nan,3.000000000000000000e+00,1.650000000000000000e+01,2.000000000000000000e+00,6.500000000000000000e+00,nan,nan,nan,nan,nan,nan,2.000000000000000000e+00,1.225000000000000000e+01,nan,nan,6.000000000000000000e+00,nan,nan,1.000000000000000000e+01,1.633333333333333215e+01,5.000000000000000000e+00,nan,5.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e+00,nan,1.660000000000000142e+01,1.000000000000000000e+01,nan,1.050000000000000000e+01,5.000000000000000000e+00,nan,nan,nan,1.333333333333333393e+01,nan,nan,nan,nan,nan,nan,3.000000000000000000e+00,4.475000000000000000e+01,nan,nan,nan,nan,1.025000000000000000e+01,1.471428571428571352e+01,1.466666666666666607e+01,nan,1.866666666666666785e+01,1.300000000000000000e+01,nan,nan,nan,4.000000000000000000e+00,nan,1.140000000000000036e+01,nan,nan,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,1.000000000000000000e+00,nan,nan,6.333333333333333037e+00,nan,nan,3.133333333333333215e+01,nan,nan,1.000000000000000000e+00,nan,nan,1.980000000000000071e+01,nan,1.383333333333333393e+01,nan,3.100000000000000000e+01,nan,nan,1.200000000000000000e+01,nan,nan,nan,1.200000000000000000e+01,8.000000000000000000e+00,1.000000000000000000e+01,3.100000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,nan,nan,2.239999999999999858e+01,6.000000000000000000e+00,nan,1.066666666666666607e+01,nan,nan
nan,5.142857142857143238e+00,nan,nan,1.540000000000000036e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.325000000000000000e+01,nan,nan,nan,nan,1.159999999999999964e+01,1.519999999999999929e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.375000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.625000000000000000e+01,1.666666666666666785e+01,1.540000000000000036e+01,nan,nan,nan,nan,nan,nan,nan,nan,1.300000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.599999999999999645e+00,nan,nan,nan,2.012500000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.471428571428571352e+01,nan,nan,nan,nan,9.333333333333333925e+00,nan,nan,nan,8.599999999999999645e+00,nan,1.700000000000000000e+01,nan,nan,nan,nan,2.575000000000000000e+01,nan,7.666666666666666963e+00,nan,nan,nan,nan,nan,5.571428571428571175e+00,nan,nan,nan,1.037500000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.925000000000000000e+01,nan,nan,nan,1.675000000000000000e+01,1.950000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.250000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.750000000000000000e+00,nan,nan,nan,nan,8.000000000000000000e+00,nan,nan
nan,nan,1.675000000000000000e+01,nan,1.271428571428571352e+01,nan,nan,nan,nan,nan,nan,nan,nan,1.513333333333333286e+01,nan,nan,nan,nan,nan,nan,nan,1.036363636363636331e+01,9.555555555555555358e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.378571428571428648e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.272222222222222143e+01,nan,1.250000000000000000e+01,nan,nan,1.590000000000000036e+01,nan,1.500000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.036363636363636331e+01,9.166666666666666075e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.294117647058823550e+01,nan,1.618750000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.533333333333333393e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.327272727272727337e+01,nan,nan,nan,nan,nan,nan,nan,nan,1.468750000000000000e+01,nan,nan,8.428571428571428825e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.837500000000000000e+01,nan,nan,nan,nan,8.000000000000000000e+00,nan,nan,1.305555555555555536e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.480000000000000071e+01,nan,nan
nan,5.250000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.225000000000000000e+01,nan,nan,nan,6.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,6.333333333333333037e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.000000000000000000e+00,5.000000000000000000e+00,nan,nan,nan,2.900000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,nan,nan,5.666666666666666963e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.300000000000000000e+01,4.000000000000000000e+00,nan,nan,2.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.444444444444444642e+00,nan,nan,nan,6.333333333333333037e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.442857142857142883e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.536363636363636331e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.700000000000000000e+01,nan,8.555555555555555358e+00,nan,nan,1.666666666666666785e+01,1.227272727272727337e+01,nan,nan,nan,nan,nan,1.914999999999999858e+01,1.081818181818181834e+01,nan,nan,nan,nan,1.605000000000000071e+01,nan,nan,nan,nan,nan,nan,nan,1.289473684210526372e+01,nan,1.786666666666666714e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.041666666666666785e+01,nan,nan,1.166666666666666607e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.214285714285714235e+01,nan,nan,nan,nan,nan,nan,nan,1.881250000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.599999999999999645e+00,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,1.283333333333333393e+01,8.076923076923076650e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.666666666666666963e+00,8.583333333333333925e+00,nan,nan,nan,nan,1.550000000000000000e+01,nan,nan,9.222222222222221433e+00,nan,nan,1.062500000000000000e+01,nan,6.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.077777777777777857e+01,nan,nan,1.280000000000000071e+01,1.742857142857142705e+01,1.133333333333333393e+01,nan,nan,8.363636363636363313e+00,nan,nan,nan,nan,nan,1.590000000000000036e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.575000000000000000e+01,nan,1.955555555555555713e+01,nan,nan,1.914285714285714235e+01,nan,nan,nan,nan,nan,nan,nan,9.699999999999999289e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.075000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.044444444444444464e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.714285714285714235e+01,nan,nan,nan,nan,nan,1.839999999999999858e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.222222222222221433e+00,nan,nan,nan
2.000000000000000000e+01,4.666666666666666963e+00,1.919999999999999929e+01,nan,nan,5.000000000000000000e+00,nan,1.366666666666666607e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.550000000000000000e+01,1.350000000000000000e+01,2.000000000000000000e+01,nan,nan,nan,1.250000000000000000e+01,nan,nan,1.200000000000000000e+01,nan,1.050000000000000000e+01,1.359999999999999964e+01,nan,1.700000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,1.285714285714285765e+01,nan,nan,3.400000000000000000e+01,1.500000000000000000e+01,1.750000000000000000e+01,9.000000000000000000e+00,nan,nan,1.400000000000000000e+01,6.000000000000000000e+00,nan,nan,nan,1.219999999999999929e+01,6.666666666666666963e+00,nan,nan,nan,7.666666666666666963e+00,3.500000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.639999999999999858e+01,nan,nan,nan,nan,nan,nan,nan,nan,1.600000000000000000e+01,nan,nan,1.739999999999999858e+01,nan,nan,nan,nan,nan,nan,nan,1.633333333333333215e+01,1.925000000000000000e+01,nan,nan,nan,1.066666666666666607e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.000000000000000000e+00,1.700000000000000000e+01,1.280000000000000071e+01,1.100000000000000000e+01,nan,nan,nan,1.200000000000000000e+01,1.033333333333333393e+01,nan,8.500000000000000000e+00,nan,8.428571428571428825e+00,3.300000000000000000e+01,nan,1.150000000000000000e+01,nan,nan,1.225000000000000000e+01,nan,1.939999999999999858e+01,nan,6.428571428571428825e+00,nan,nan,nan,nan,1.839999999999999858e+01,nan,2.050000000000000000e+01,1.028571428571428648e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000000000000000000e+01,nan,nan,nan,4.000000000000000000e+00,nan,1.500000000000000000e+01,1.125000000000000000e+01,nan,nan,nan,nan,nan,6.500000000000000000e+00,nan,nan,nan,9.833333333333333925e+00,nan,1.040000000000000036e+01,nan,1.542857142857142883e+01,nan,nan,nan,nan,nan,nan,nan,1.114285714285714235e+01,nan,5.000000000000000000e+00,1.887500000000000000e+01,nan,nan,nan,nan,nan,nan,nan,7.666666666666666963e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.000000000000000000e+00,nan,nan,nan,nan,3.000000000000000000e+00,nan,nan
nan,5.000000000000000000e+00,1.185714285714285765e+01,nan,nan,1.125000000000000000e+01,nan,1.900000000000000000e+01,nan,nan,nan,nan,1.175000000000000000e+01,8.428571428571428825e+00,nan,nan,5.500000000000000000e+00,1.333333333333333393e+01,2.119999999999999929e+01,nan,1.037500000000000000e+01,nan,1.100000000000000000e+01,nan,nan,nan,nan,nan,nan,9.142857142857142350e+00,nan,nan,nan,nan,1.928571428571428470e+01,nan,nan,nan,nan,nan,nan,nan,7.599999999999999645e+00,nan,6.250000000000000000e+00,nan,nan,2.128571428571428470e+01,nan,nan,nan,3.925000000000000000e+01,1.500000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,9.750000000000000000e+00,nan,nan,nan,nan,nan,6.500000000000000000e+00,nan,nan,nan,nan,1.225000000000000000e+01,2.939999999999999858e+01,nan,7.333333333333333037e+00,nan,nan,1.550000000000000000e+01,nan,1.166666666666666607e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.000000000000000000e+00,nan,nan,nan,nan,nan,nan,1.739999999999999858e+01,nan,nan,nan,nan,nan,nan,nan,1.133333333333333393e+01,3.000000000000000000e+00,2.766666666666666785e+01,7.833333333333333037e+00,nan,nan,nan,nan,nan,nan,8.250000000000000000e+00,nan,nan,nan,nan,nan,nan,3.600000000000000000e+01,5.599999999999999645e+00,2.025000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.633333333333333215e+01,nan,nan,nan,nan,1.025000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.799999999999999822e+00,nan,2.112500000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.150000000000000000e+01,nan,nan,nan,nan,nan,1.600000000000000000e+01,nan,nan,7.500000000000000000e+00,nan,nan,nan,1.385714285714285765e+01,1.425000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.000000000000000000e+00,nan,nan
nan,nan,nan,nan,1.000000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.555555555555555358e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.500000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,1.459999999999999964e+01,nan,nan,nan,nan,nan,3.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.000000000000000000e+00,nan,nan,nan,nan,nan,nan,6.250000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,1.860000000000000142e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000000000000000000e+01,nan,nan,nan,nan,1.700000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,4.050000000000000000e+01,8.777777777777778567e+00,nan,nan,nan,nan,nan,1.200000000000000000e+01,nan,1.159999999999999964e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.466666666666666607e+01,nan,1.600000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,1.650000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.914285714285714235e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.000000000000000000e+00,nan,nan,nan,3.700000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.100000000000000000e+01,1.283333333333333393e+01,6.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.300000000000000000e+01,nan,nan,nan,nan,nan,1.250000000000000000e+01,2.060000000000000142e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.666666666666666785e+01,nan,nan,nan,nan,nan,nan,nan,1.200000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,7.500000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.400000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.671428571428571530e+01,1.122222222222222143e+01,nan,7.333333333333333037e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.330000000000000071e+01,1.200000000000000000e+01,8.900000000000000355e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.750000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.475000000000000000e+01,nan,nan,1.955555555555555713e+01,nan,nan,nan,nan,8.250000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.383333333333333393e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
