Time of Death, Message ID, Age at Death, Place of Death, Place Before Death
26, 238, 1, 50, 50
26, 206, 5, 59, 8
26, 233, 2, 59, 69
26, 221, 3, 81, 39
26, 242, 1, 81, 81
27, 227, 3, 29, 16
27, 236, 2, 29, 34
27, 237, 2, 29, 45
27, 231, 3, 29, 62
28, 247, 2, 34, 21
28, 248, 2, 34, 27
28, 255, 1, 34, 34
28, 246, 2, 39, 17
28, 249, 2, 39, 47
28, 234, 3, 39, 61
28, 243, 2, 42, 3
28, 240, 3, 42, 16
28, 245, 2, 50, 13
28, 235, 3, 50, 48
28, 167, 11, 50, 65
28, 241, 3, 63, 8
28, 257, 1, 63, 63
29, 253, 2, 10, 19
29, 254, 2, 10, 28
29, 228, 5, 29, 45
29, 225, 5, 29, 62
29, 251, 3, 37, 48
29, 250, 3, 37, 60
29, 258, 2, 37, 69
30, 259, 3, 8, 9
30, 266, 2, 8, 63
30, 264, 2, 21, 39
30, 267, 2, 21, 67
30, 262, 2, 39, 14
30, 244, 4, 39, 44
30, 271, 1, 39, 39
30, 272, 1, 39, 39
30, 265, 2, 44, 47
30, 239, 5, 44, 48
30, 268, 2, 60, 69
30, 269, 2, 60, 81
32, 273, 3, 7, 16
32, 288, 1, 7, 7
32, 261, 4, 10, 60
32, 289, 1, 10, 10
32, 270, 3, 29, 10
32, 256, 5, 29, 44
32, 283, 2, 53, 45
32, 274, 3, 53, 61
32, 252, 5, 61, 53
32, 287, 2, 61, 87
32, 285, 2, 62, 64
32, 293, 1, 62, 62
33, 286, 3, 7, 37
33, 281, 3, 7, 39
33, 277, 4, 7, 73
33, 298, 1, 7, 7
33, 282, 3, 37, 50
33, 296, 2, 37, 68
33, 263, 5, 42, 3
33, 290, 2, 42, 32
33, 301, 1, 42, 42
33, 292, 2, 61, 52
33, 279, 3, 61, 65
33, 303, 1, 63, 63
33, 304, 1, 63, 63
34, 275, 5, 0, 21
34, 306, 1, 0, 0
34, 307, 1, 0, 0
34, 260, 7, 10, 29
34, 291, 3, 10, 45
34, 297, 2, 29, 2
34, 295, 3, 29, 16
34, 280, 4, 34, 15
34, 299, 2, 34, 19
35, 309, 2, 34, 4
35, 316, 1, 34, 34
35, 294, 4, 48, 42
35, 302, 3, 48, 44
36, 308, 3, 16, 29
36, 318, 2, 16, 55
36, 312, 3, 29, 10
36, 317, 2, 29, 49
36, 322, 2, 29, 81
36, 323, 2, 29, 88
36, 300, 4, 39, 53
36, 319, 2, 39, 57
36, 310, 3, 44, 37
36, 329, 1, 44, 44
36, 313, 3, 48, 15
36, 321, 2, 48, 70
36, 314, 3, 59, 61
36, 332, 1, 59, 59
36, 315, 2, 81, 20
36, 278, 7, 81, 42
37, 325, 2, 3, 10
37, 333, 1, 3, 3
37, 305, 5, 73, 42
37, 340, 1, 73, 73
38, 326, 3, 16, 0
38, 338, 2, 16, 60
38, 327, 3, 29, 16
38, 337, 2, 29, 45
