Node, Influence, Redundancy, AvgDeathAge
0, 0.012002560546249865, 0.0, 1.0848214285714286
1, 0.1261487050960735, 0.0, 2.001064395955295
2, 0.12011517893870831, 0.0, 2.030800821355236
3, 0.011925574425574426, 0.0, 1.0789473684210527
4, 0.10540069686411149, 0.0, 2.0496644295302016
5, 0.2713343799058084, 0.017142857142857144, 2.0178111085071477
6, 0.14146171289028434, 0.0, 2.059092800665834
7, 0.01098901098901099, 0.0, 1.0
8, 0.01098901098901099, 0.0, 1.0
9, 0.01098901098901099, 0.0, 1.0
10, 0.010989010989010988, 0.0, 1.0
11, 0.20677160677160672, 0.0, 2.0225890529973936
12, 0.20220841959972397, 0.0, 2.0108166576527853
13, 0.18766861880634336, 0.0, 2.0043779642466255
14, 0.22672382562492444, 0.005494505494505495, 2.077975729408727
15, 0.01098901098901099, 0.0, 1.0
16, 0.01098901098901099, 0.0, 1.0
17, 0.15433728282890294, 0.0, 2.00419991600168
18, 0.25871479513863616, 0.039735099337748346, 2.0406639004149376
19, 0.14027538726333907, 0.0, 2.038104543234001
20, 0.18411302982731553, 0.0, 2.0182841068917017
21, 0.010989010989010988, 0.0, 1.0
22, 0.18578296703296707, 0.0, 2.007362355953905
23, 0.23017523017523014, 0.0, 2.0289288506645815
24, 0.19355230404954163, 0.0, 2.021773935318604
25, 0.20615099186527758, 0.006493506493506494, 2.0131625755958735
26, 0.2502994635696057, 0.0, 2.0733481511416447
27, 0.18748473748473746, 0.0, 2.009075630252101
28, 0.17665959771222928, 0.0, 2.0323660714285716
29, 0.010989010989010988, 0.0, 1.0
30, 0.20668553003882342, 0.0, 2.024342745861733
31, 0.13748473748473744, 0.0, 2.000953743443014
32, 0.18493701420530687, 0.0, 2.0757142857142856
33, 0.18700597647966066, 0.0, 2.0712328767123287
34, 0.012035583464154892, 0.0, 1.0879120879120878
35, 0.1637885923600209, 0.0, 2.01105379513633
36, 0.1439424772758106, 0.0, 2.021782178217822
37, 0.01098901098901099, 0.0, 1.0
38, 0.0715186452891371, 0.0, 1.9791073124406457
39, 0.01098901098901099, 0.0, 1.0
40, 0.1955050599118396, 0.0, 2.0171277997364956
41, 0.24688265102772872, 0.07253886010362694, 2.084339995607292
42, 0.010989010989010988, 0.0, 1.0
43, 0.20934411500449235, 0.0, 2.024740889334671
44, 0.010989010989010988, 0.0, 1.0
45, 0.01098901098901099, 0.0, 1.0
46, 0.1531670576614397, 0.0, 2.019797809604044
47, 0.01098901098901099, 0.0, 1.0
48, 0.010989010989010988, 0.0, 1.0
49, 0.20283587380361573, 0.0, 2.015821646889608
50, 0.01098901098901099, 0.0, 1.0
51, 0.15345601144417712, 0.0, 2.0
52, 0.11152935462327727, 0.0, 2.0809414466130884
53, 0.011895321173671689, 0.0, 1.076555023923445
54, 0.14484930274403962, 0.0, 2.0574506283662477
55, 0.22710622710622708, 0.006535947712418301, 2.030524642289348
56, 0.18333033087131448, 0.0, 2.015187310158623
57, 0.23537195788504678, 0.05235602094240838, 2.047596268835207
58, 0.1925909142403988, 0.0, 2.038849347568209
59, 0.010989010989010986, 0.0, 1.0
60, 0.01098901098901099, 0.0, 1.0
61, 0.01098901098901099, 0.0, 1.0
62, 0.01098901098901099, 0.0, 1.0
63, 0.010989010989010988, 0.0, 1.0
64, 0.20439560439560434, 0.0, 1.9887640449438202
65, 0.01098901098901099, 0.0, 1.0
66, 0.19054160125588696, 0.0, 2.003242074927954
67, 0.17926651661591422, 0.0, 2.023396226415094
68, 0.1663724876160109, 0.0, 2.0007178750897343
69, 0.24744897959183673, 0.005952380952380952, 2.040486901296639
70, 0.1016633639584459, 0.0, 1.979247730220493
71, 0.09505494505494508, 0.0, 1.9807692307692308
72, 0.1383587173060857, 0.0, 2.0
73, 0.010989010989010988, 0.0, 1.0
74, 0.19916039017162615, 0.0, 2.0741082410824108
75, 0.1719169719169719, 0.0, 2.0136029411764707
76, 0.14738202973497094, 0.0, 1.9966201943388255
77, 0.019154030327214685, 0.0, 1.4360655737704917
78, 0.17064544650751545, 0.0, 2.061972863953062
79, 0.17714285714285716, 0.0, 2.105421686746988
80, 0.17490842490842487, 0.0, 2.057900244157656
81, 0.01098901098901099, 0.0, 1.0
82, 0.1821733821733822, 0.0, 2.048005409060176
83, 0.18580847723704863, 0.0, 2.006009190526688
84, 0.12436665131275904, 0.0, 2.018058690744921
85, 0.12597158938622352, 0.0, 1.9816933638443937
86, 0.19568892645815725, 0.0, 2.010597302504817
87, 0.10347021399652977, 0.0, 2.0245215311004783
88, 0.0891548927263213, 0.0, 1.9975409836065574
89, 0.08199492814877428, 0.0, 1.9710982658959537
90, 0.06437312687312687, 0.0, 1.9777034559643256
