Node, Influence, Redundancy, AvgDeathAge
0, 0.09963768115942029, 0.0, 2.810810810810811
1, 0.12635869565217392, 0.0, 4.014869888475836
2, 0.036231884057971016, 0.0, 2.6511627906976742
3, 0.3559782608695652, 0.0, 3.952569169960474
4, 0.005434782608695652, 0.0, 1.0
5, 0.15217391304347827, 0.0, 2.8784530386740332
6, 0.005434782608695652, 0.0, 1.0
7, 0.14906832298136646, 1.4285714285714286, 15.113670068917386
8, 0.005434782608695652, 0.0, 1.0
9, 0.005434782608695652, 0.0, 1.0
10, 0.019409937888198756, 0.0, 1.76
11, 0.11413043478260869, 0.0, 2.0
12, 0.057971014492753624, 0.0, 1.9375
13, 0.0625, 0.0, 1.9545454545454546
14, 0.09057971014492754, 0.0, 2.5346534653465347
15, 0.005434782608695652, 0.0, 1.0
16, 0.005434782608695652, 0.0, 1.0
17, 0.08773291925465838, 2.2857142857142856, 9.016637478108581
18, 0.005434782608695652, 0.0, 1.0
19, 0.04021739130434783, 0.0, 1.9696969696969697
20, 0.005434782608695652, 0.0, 1.0
21, 0.20326086956521738, 0.2, 4.668302257114818
22, 0.010869565217391304, 0.0, 2.0
23, 0.007246376811594203, 0.0, 1.3333333333333333
24, 0.005434782608695652, 0.0, 1.0
25, 0.03649068322981367, 0.0, 1.9523809523809523
26, 0.20244565217391303, 0.25, 3.5994152046783627
27, 0.03260869565217391, 0.0, 2.0
28, 0.005434782608695652, 0.0, 1.0
29, 0.005434782608695652, 0.0, 1.0
30, 0.005434782608695653, 0.0, 1.0
31, 0.005434782608695652, 0.0, 1.0
32, 0.02717391304347826, 0.0, 2.5
33, 0.005434782608695652, 1.0, 0
34, 0.005434782608695652, 0.0, 1.0
35, 0.005434782608695652, 0.0, 1.0
36, 0.033967391304347824, 0.0, 1.9767441860465116
37, 0.03260869565217391, 0.0, 2.0
38, 0.21739130434782608, 0.0, 3.4830917874396135
39, 0.02717391304347826, 0.0, 1.85
40, 0.005434782608695652, 0.0, 1.0
41, 0.005434782608695652, 1.0, 0
42, 0.24021739130434785, 0.8, 12.65036674816626
43, 0.16195652173913044, 0.0, 4.411889596602973
44, 0.005434782608695652, 0.0, 1.0
45, 0.005434782608695653, 0.0, 1.0
46, 0.005434782608695652, 0.0, 1.0
47, 0.2157608695652174, 0.2, 3.622285174693107
48, 0.13043478260869565, 0.0, 3.3917525773195876
49, 0.06521739130434782, 0.0, 2.0
50, 0.005434782608695652, 0.0, 1.0
51, 0.234472049689441, 0.2857142857142857, 3.361794500723589
52, 0.005434782608695652, 0.0, 1.0
53, 0.005434782608695653, 0.0, 1.0
54, 0.1739130434782609, 0.0, 5.61344537815126
55, 0.005434782608695651, 0.0, 1.0
56, 0.14829192546583853, 0.14285714285714285, 6.919254658385094
57, 0.02639751552795031, 0.14285714285714285, 1.8125
58, 0.005434782608695652, 0.0, 1.0
